,model,f1_score,test_accuracy
0,r/Fitness,0.9996584,0.99931705
1,r/technology,0.99841624,0.9968375
2,r/LifeProTips,0.7607092,0.83309275
3,r/books,0.9994133,0.9988273
4,r/Foodforthought,0.9999987,0.99999744
5,r/sports,0.9994839,0.99896836
6,r/femalefashionadvice,0.99985,0.9997
7,r/lifehacks,0.99999017,0.99998033
8,r/space,0.99920106,0.9984034
9,r/socialskills,0.9999372,0.99987435
10,r/history,0.99992603,0.9998521
11,r/EatCheapAndHealthy,0.9998769,0.99975383
12,r/UpliftingNews,0.99984956,0.9996991
13,r/gardening,0.9991895,0.9983803
14,r/changemyview,0.99956346,0.9991273
15,r/IWantToLearn,0.999997,0.99999404
16,r/Documentaries,0.9999393,0.99987864
17,r/mildlyinteresting,0.3783133,0.53815913
18,r/buildapc,0.99554807,0.99113554
19,r/AskHistorians,0.9997666,0.9995333
20,r/todayilearned,0.99900794,0.99801785
21,r/Fantasy,0.99803156,0.9960708
22,r/explainlikeimfive,0.9991056,0.99821275
23,r/programming,0.99928063,0.99856234
24,r/malefashionadvice,0.9996871,0.99937433
25,r/suggestmeabook,0.99791527,0.9958392
26,r/gadgets,0.9999551,0.99991024
27,r/IAmA,0.9998722,0.9997444
28,r/DIY,0.99896383,0.9979298
29,r/gaming,0.9884204,0.977106
30,r/WritingPrompts,0.9993949,0.99879056
31,r/bodyweightfitness,0.9998568,0.99971366
32,r/personalfinance,0.90991294,0.93767023
33,r/GetMotivated,0.9999564,0.9999128
34,r/Damnthatsinteresting,0.99826103,0.9965281
35,r/philosophy,0.9999543,0.99990857
36,r/travel,0.9987561,0.99751526
37,r/askscience,0.9999825,0.99996495
38,r/YouShouldKnow,0.99985427,0.99970853
39,r/podcasts,0.9999658,0.99993163
40,r/tifu,0.99939364,0.998788
41,r/science,0.99963146,0.9992632
42,r/scifi,0.9998102,0.9996205
43,r/Showerthoughts,0.9975993,0.99521005
44,r/boardgames,0.9981804,0.9963674
45,r/SkincareAddiction,0.9976173,0.995246
46,r/bestof,0.9999876,0.9999752
47,r/ifyoulikeblank,0.9996302,0.99926066
48,r/Games,0.99898356,0.99796915
